"IndividualId","Time [min]","Organism|VenousBlood|Plasma|7E3|Concentration in container [µmol/l]","Organism|Brain|7E3|Whole Organ incl. FcRn_Complex-7E3 [µmol/l]","Organism|Heart|7E3|Whole Organ incl. FcRn_Complex-7E3 [µmol/l]","Organism|Kidney|7E3|Whole Organ incl. FcRn_Complex-7E3 [µmol/l]","Organism|SmallIntestine|7E3|Whole Organ (Small Intestine) incl. FcRn_Complex-7E3 [µmol/l]","Organism|LargeIntestine|7E3|Whole Organ (Large Intestine) incl. FcRn_Complex-7E3 [µmol/l]","Organism|Liver|7E3|Whole Organ incl. FcRn_Complex (Liver)-7E3 [µmol/l]","Organism|Lung|7E3|Whole Organ incl. FcRn_Complex-7E3 [µmol/l]","Organism|Muscle|7E3|Whole Organ incl. FcRn_Complex-7E3 [µmol/l]","Organism|Skin|7E3|Whole Organ incl. FcRn_Complex-7E3 [µmol/l]","Organism|Spleen|7E3|Whole Organ incl. FcRn_Complex-7E3 [µmol/l]"
0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,1.0979205,0.00020167338,0.045493,0.016955454,0.009783288,0.010119327,0.026763605,0.14537606,0.003095552,0.0026705274,0.07618701
0,6,1.0679855,0.00031849835,0.052234706,0.020519404,0.011011151,0.012489794,0.03833276,0.14516556,0.0031680816,0.0031293954,0.10458329
0,9,1.040834,0.0003922047,0.058024768,0.023805842,0.01211275,0.014555393,0.048642624,0.14391658,0.0032156992,0.003558727,0.12562005
0,12,1.0159355,0.00044227988,0.06307766,0.026879067,0.0131263845,0.016381511,0.05786215,0.14219634,0.0032508278,0.0039684055,0.14104916
0,15,0.99302155,0.0004792289,0.067532964,0.029778458,0.014074595,0.018013988,0.06612185,0.14031264,0.0032805004,0.0043642083,0.15219888
0,18,0.9718646,0.000508763,0.071484104,0.0325285,0.014970413,0.019485781,0.0735265,0.13842215,0.0033083637,0.0047494303,0.16008121
0,21,0.9522705,0.0005339324,0.074997365,0.035145182,0.015821557,0.020821419,0.08016351,0.136599,0.0033362056,0.0051259776,0.16546953
0,24,0.9340722,0.00055639836,0.07812334,0.037639834,0.016632924,0.022039896,0.08610813,0.1348755,0.003364865,0.005495017,0.16895853
0,27,0.91712457,0.0005771065,0.080903165,0.040021192,0.017407918,0.02315641,0.09142664,0.13326348,0.0033947104,0.005857327,0.17100915
0,30,0.9013017,0.00059655687,0.08337119,0.042296246,0.01814899,0.02418324,0.096177846,0.13176265,0.0034258284,0.006213435,0.17197591
0,33,0.8864935,0.00061500364,0.085556924,0.044470858,0.018858027,0.025130445,0.10041435,0.13036682,0.0034581642,0.0065637217,0.17212988
0,36,0.87260294,0.00063262344,0.08748685,0.04655033,0.019536687,0.026006583,0.10418386,0.12906888,0.0034916343,0.0069085103,0.1716849
0,39,0.85954493,0.0006495022,0.08918439,0.04853936,0.020186385,0.026818743,0.10752928,0.12786038,0.0035261165,0.00724806,0.17080031
0,42,0.84724396,0.0006656993,0.09067074,0.05044228,0.020808414,0.02757301,0.11048958,0.12673324,0.003561491,0.0075826,0.16959977
0,45,0.83563286,0.000681257,0.091965154,0.0522631,0.021403968,0.028274613,0.113100134,0.12567991,0.003597643,0.007912337,0.16817787
0,48,0.8246524,0.0006961832,0.09308483,0.054005485,0.021974118,0.028927943,0.11539288,0.124692716,0.0036344505,0.008237445,0.16660205
0,51,0.81424814,0.00071052695,0.094045945,0.055673014,0.02251996,0.02953706,0.11739726,0.12376601,0.0036718324,0.008558108,0.16493165
0,54,0.8043719,0.00072431314,0.09486306,0.05726898,0.023042487,0.030105429,0.11913995,0.12289414,0.0037097028,0.008874486,0.16320862
0,57,0.7949796,0.0007375754,0.09554956,0.05879652,0.023542667,0.030636178,0.12064533,0.12207229,0.003747991,0.009186734,0.16146761
0,60,0.7860321,0.0007503229,0.09611746,0.06025851,0.024021367,0.031131981,0.12193543,0.1212955,0.0037866205,0.009494985,0.15973039
0,63,0.77749413,0.0007625682,0.09657771,0.061657686,0.024479423,0.031595215,0.12303031,0.1205594,0.0038255237,0.009799363,0.15801266
0,66,0.7693337,0.0007743243,0.09694032,0.06299662,0.024917627,0.03202801,0.12394822,0.119860105,0.0038646415,0.010099985,0.15632513
0,69,0.7615217,0.0007856063,0.097214445,0.06427775,0.025336739,0.032432284,0.124705784,0.119194165,0.0039039224,0.010396961,0.15467513
0,72,0.75403184,0.00079642434,0.09740838,0.065503396,0.025737472,0.03280976,0.12531812,0.118558325,0.003943317,0.010690393,0.1530667
0,75,0.74683994,0.0008068009,0.0975298,0.06667577,0.026120534,0.03316205,0.12579904,0.117950045,0.0039827903,0.010980383,0.15150322
0,78,0.73992395,0.00081674126,0.09758563,0.06779692,0.026486564,0.033490613,0.12616116,0.11736646,0.0040222974,0.011267016,0.14998695
0,81,0.73326397,0.00082626805,0.09758225,0.06886886,0.026836207,0.03379676,0.12641585,0.116805606,0.0040618125,0.011550382,0.14851709
0,84,0.7268413,0.0008353886,0.097525455,0.069893464,0.027170053,0.034081783,0.12657368,0.11626513,0.0041013,0.011830561,0.14709584
0,87,0.7206394,0.0008441197,0.0974205,0.070872515,0.027488679,0.034346774,0.12664403,0.11574334,0.0041407365,0.012107628,0.1457204
0,90,0.7146427,0.0008524726,0.09727224,0.07180773,0.02779263,0.034592822,0.12663566,0.11523842,0.004180096,0.012381656,0.1443908
0,93,0.70883715,0.00086045964,0.09708505,0.07270072,0.028082434,0.034820907,0.12655637,0.11474885,0.0042193574,0.012652712,0.14310518
0,96,0.70321,0.0008680926,0.09686291,0.07355303,0.028358592,0.035031926,0.12641332,0.11427323,0.004258501,0.012920859,0.14186102
0,99,0.6977494,0.0008753822,0.096609466,0.07436616,0.028621579,0.035226736,0.12621304,0.113810256,0.0042975084,0.013186158,0.14065635
0,102,0.69244456,0.000882339,0.096328005,0.07514149,0.028871857,0.03540613,0.12596138,0.11335877,0.0043363646,0.013448664,0.13948894
0,105,0.6872855,0.0008889729,0.09602155,0.075880386,0.029109865,0.035570856,0.12566376,0.1129177,0.004375054,0.013708432,0.13835649
0,108,0.6822634,0.00089529477,0.09569273,0.076584116,0.029336026,0.035721596,0.12532485,0.112486154,0.004413565,0.013965514,0.13725682
0,111,0.67736965,0.0009013134,0.09534409,0.07725392,0.029550744,0.03585903,0.124949165,0.1120632,0.0044518863,0.014219956,0.13618815
0,114,0.6725964,0.00090703735,0.09497793,0.077891,0.02975441,0.0359838,0.12454086,0.11164801,0.0044900053,0.014471805,0.13514908
0,117,0.6679359,0.0009124741,0.09459645,0.07849648,0.0299474,0.036096547,0.124103844,0.111239724,0.004527911,0.014721106,0.13413881
0,120,0.6633835,0.00091763685,0.09420101,0.0790714,0.030130068,0.03619768,0.12364043,0.11083809,0.0045656026,0.014967899,0.13315266
0,135,0.64202243,0.00093957817,0.092074715,0.08152346,0.030900352,0.036548775,0.1210357,0.108906105,0.004750531,0.016165616,0.12857327
0,150,0.6225789,0.0009557526,0.08980897,0.08335346,0.031459745,0.036682785,0.11814463,0.107062854,0.004929149,0.01730606,0.124478295
0,165,0.60463274,0.0009669915,0.08750437,0.08465804,0.031840835,0.036644913,0.11514496,0.10527335,0.005101127,0.018392919,0.120750055
0,180,0.5879003,0.0009740008,0.085218005,0.08551765,0.032070953,0.036470354,0.11213742,0.10351771,0.005266358,0.019429289,0.117298275
0,195,0.57217824,0.0009773837,0.082982406,0.08600023,0.032173276,0.036187675,0.10917998,0.10178416,0.0054248506,0.02041786,0.11407258
0,210,0.5573138,0.0009776673,0.08081622,0.08616366,0.0321676,0.035820223,0.10630658,0.10006598,0.005576685,0.021361027,0.11104127
0,225,0.5431934,0.00097531016,0.078728415,0.08605737,0.032070868,0.035386678,0.103534356,0.09836007,0.0057219937,0.022260945,0.1081741
0,240,0.52973205,0.0009707072,0.07672136,0.085723594,0.031897586,0.034902014,0.10086889,0.09666566,0.0058609406,0.023119565,0.1054468
0,255,0.51686317,0.00096420187,0.07479392,0.085198544,0.031660195,0.03437845,0.098309815,0.09498321,0.005993703,0.02393868,0.10284339
0,270,0.5045313,0.0009560943,0.07294364,0.08451347,0.031369425,0.033826098,0.095854536,0.09331367,0.0061204634,0.02471996,0.1003541
0,285,0.4926906,0.0009466448,0.07116721,0.0836953,0.031034514,0.033253163,0.093498915,0.091658324,0.0062414054,0.025464958,0.09796915
0,300,0.48130292,0.0009360793,0.0694607,0.08276719,0.030663405,0.032666273,0.09123772,0.09001867,0.006356714,0.026175128,0.0956794
0,315,0.47033373,0.00092459505,0.06782075,0.08174929,0.030262988,0.03207098,0.089066625,0.08839596,0.006466566,0.026851851,0.09347827
0,330,0.45975658,0.0009123626,0.06624297,0.08065874,0.02983913,0.031471528,0.08697936,0.08679187,0.0065711425,0.027496416,0.091356784
0,345,0.44954753,0.0008995299,0.06472339,0.079510294,0.029396875,0.030871436,0.084970355,0.085207865,0.006670618,0.028110042,0.089309625
0,360,0.4396853,0.0008862254,0.06325833,0.07831667,0.028940551,0.030273536,0.083034426,0.083645225,0.0067651616,0.028693894,0.08733232
0,375,0.43015078,0.00087255955,0.061844468,0.07708875,0.028473862,0.029680122,0.081166975,0.08210507,0.006854937,0.029249072,0.08542157
0,390,0.42092663,0.000858628,0.060478836,0.07583587,0.027999971,0.029092979,0.07936391,0.080588356,0.0069401027,0.029776633,0.08357335
0,405,0.41199523,0.00084451435,0.059159223,0.074566215,0.027521646,0.02851374,0.07762241,0.07909566,0.0070208074,0.030277586,0.08178627
0,420,0.40334442,0.0008302881,0.057882633,0.07328637,0.02704111,0.02794327,0.07593814,0.07762793,0.0070972047,0.030752886,0.08005483
0,435,0.39495704,0.00081601454,0.056647837,0.07200275,0.026560515,0.027382914,0.07430985,0.07618524,0.0071694297,0.031203475,0.078379095
0,450,0.38682428,0.0008017425,0.055452004,0.07071982,0.026081355,0.026832916,0.07273334,0.074768394,0.007237628,0.031630218,0.07675391
0,465,0.37893248,0.000787521,0.05429378,0.069442324,0.025605218,0.02629412,0.07120701,0.07337747,0.0073019294,0.032033976,0.07517817
0,480,0.3712723,0.00077338674,0.05317124,0.06817361,0.025133213,0.025766728,0.069728136,0.07201279,0.0073624663,0.032415558,0.07364918
0,495,0.36383468,0.00075937225,0.05208257,0.06691667,0.02466633,0.025250938,0.06829419,0.07067458,0.007419365,0.032775752,0.07216466
0,510,0.3566109,0.00074550504,0.051026214,0.065674014,0.024205394,0.024746878,0.066903055,0.06936293,0.007472748,0.033115305,0.070722826
0,525,0.34959278,0.0007318068,0.050000787,0.06444758,0.023751028,0.024254527,0.06555285,0.06807783,0.007522734,0.033434942,0.06932215
0,540,0.34277293,0.0007182965,0.04900488,0.06323904,0.023303775,0.02377384,0.06424165,0.06681928,0.007569437,0.033735365,0.06796116
0,555,0.33614373,0.00070498907,0.048037425,0.06204969,0.022864044,0.023304736,0.062968045,0.06558709,0.007612968,0.03401724,0.066638395
0,570,0.32969797,0.0006918973,0.047097396,0.06088066,0.022432184,0.022847116,0.061730716,0.06438106,0.007653433,0.03428122,0.06535275
0,585,0.32342932,0.0006790305,0.046183713,0.059732713,0.022008428,0.02240079,0.060528204,0.063200995,0.007690936,0.034527935,0.06410267
0,600,0.31733108,0.00066639733,0.045295555,0.058606587,0.021592999,0.021965643,0.059359472,0.06204656,0.0077255773,0.034757987,0.06288684
0,615,0.31139752,0.00065400306,0.044431962,0.057502683,0.021186002,0.021541445,0.058223225,0.060917486,0.007757454,0.03497196,0.06170411
0,630,0.3056231,0.0006418524,0.043592043,0.05642136,0.020787533,0.021128,0.057118256,0.059813455,0.0077866605,0.03517042,0.06055315
0,645,0.30000252,0.000629948,0.042774968,0.0553628,0.020397631,0.020725083,0.056043454,0.058734115,0.007813289,0.035353914,0.059432864
0,660,0.29453078,0.00061829115,0.041979916,0.054327045,0.020016281,0.02033245,0.05499772,0.05767911,0.007837426,0.035522964,0.058342364
0,675,0.28920326,0.00060688256,0.041206077,0.053314086,0.019643456,0.019949853,0.053979944,0.05664807,0.00785916,0.035678085,0.057280686
0,690,0.28401518,0.0005957215,0.040452797,0.052323792,0.019279089,0.019577054,0.052989278,0.05564058,0.007878573,0.03581976,0.05624692
0,705,0.2789622,0.00058480684,0.03971937,0.051356006,0.018923102,0.0192138,0.052024785,0.05465622,0.007895744,0.035948474,0.055240273
0,720,0.27403995,0.00057413726,0.03900515,0.050410565,0.018575417,0.018859861,0.051085602,0.053694576,0.0079107545,0.036064684,0.05425964
