"IndividualId","Time [min]","Organism|Brain|7E3|Whole Organ incl. FcRn_Complex-7E3 [µmol/l]","Organism|Heart|7E3|Whole Organ incl. FcRn_Complex-7E3 [µmol/l]","Organism|Kidney|7E3|Whole Organ incl. FcRn_Complex-7E3 [µmol/l]","Organism|SmallIntestine|7E3|Whole Organ (Small Intestine) incl. FcRn_Complex-7E3 [µmol/l]","Organism|LargeIntestine|7E3|Whole Organ (Large Intestine) incl. FcRn_Complex-7E3 [µmol/l]","Organism|Liver|7E3|Whole Organ incl. FcRn_Complex (Liver)-7E3 [µmol/l]","Organism|Lung|7E3|Whole Organ incl. FcRn_Complex-7E3 [µmol/l]","Organism|Muscle|7E3|Whole Organ incl. FcRn_Complex-7E3 [µmol/l]","Organism|Skin|7E3|Whole Organ incl. FcRn_Complex-7E3 [µmol/l]","Organism|Spleen|7E3|Whole Organ incl. FcRn_Complex-7E3 [µmol/l]"
0,0,0,0,0,0,0,0,0,0,0,0
0,3,0.00022970936,0.045750026,0.017046802,0.00983999,0.010169844,0.02685611,0.14642242,0.0031141227,0.002685128,0.076446414
0,6,0.0004024058,0.053032868,0.0207991,0.011188326,0.012647404,0.03864076,0.14827083,0.0032287454,0.0031753662,0.10546395
0,9,0.00053613674,0.05943648,0.024299987,0.012426331,0.014836124,0.049212422,0.14929017,0.0033241261,0.0036404873,0.12725502
0,12,0.0006404213,0.06508354,0.02758347,0.013571555,0.016783837,0.05870713,0.14969835,0.0034047177,0.004085046,0.14346117
0,15,0.00072249316,0.07008098,0.030678533,0.014639182,0.018530298,0.067244254,0.1496782,0.0034746262,0.004512959,0.15537305
0,18,0.0007878112,0.07451656,0.033608273,0.015641036,0.020107485,0.074926846,0.14936537,0.003536927,0.0049272506,0.16399246
0,21,0.00084044744,0.07846228,0.036391057,0.01658625,0.021540988,0.08184396,0.14885807,0.0035938623,0.005330227,0.17008871
0,24,0.00088351924,0.08197881,0.039041925,0.017482104,0.022851791,0.08807402,0.14822932,0.0036471144,0.005723702,0.17426634
0,27,0.0009193368,0.08511677,0.041573066,0.018334288,0.02405679,0.09368563,0.14753087,0.0036978943,0.006109068,0.17698686
0,30,0.00094965857,0.0879193,0.043994617,0.019147392,0.025169896,0.09873949,0.14680031,0.0037470935,0.0064874263,0.17861013
0,33,0.0009757689,0.09042296,0.046314947,0.019925047,0.026202371,0.103289224,0.14606306,0.0037953318,0.0068596243,0.17940757
0,36,0.000998615,0.09265913,0.0485411,0.020670185,0.02716347,0.10738253,0.14533612,0.0038430386,0.007226326,0.17958526
0,39,0.0010189347,0.09465544,0.050679203,0.021385288,0.028061017,0.111062355,0.14463152,0.0038905286,0.007588077,0.1793059
0,42,0.0010372922,0.096436165,0.052734636,0.022072457,0.028901614,0.11436736,0.14395723,0.003938023,0.007945324,0.17869593
