"IndividualId","Time [min]","Organism|VenousBlood|Plasma|7E3|Concentration in container [µmol/l]"
0,0,0
0,3,1.0984433
0,6,1.0700036
0,9,1.0450357
0,12,1.0227942
0,15,1.0028479
0,18,0.98485386
0,21,0.96853393
0,24,0.9536588
0,27,0.94004136
0,30,0.9275253
0,33,0.9159814
0,36,0.9053016
0,39,0.89539236
0,42,0.8861732
0,45,0.87757427
0,48,0.86953515
0,51,0.86200285
0,54,0.854931
0,57,0.8482779
0,60,0.8420083
0,63,0.83608866
0,66,0.8304913
0,69,0.82518923
0,72,0.8201594
0,75,0.81537986
0,78,0.81083137
0,81,0.8064971
0,84,0.80235934
0,87,0.7984029
0,90,0.7946177
0,93,0.7909879
0,96,0.7875007
0,99,0.78415054
0,102,0.7809247
0,105,0.7778131
0,108,0.77481115
0,111,0.77191013
0,114,0.7691033
0,117,0.7663851
0,120,0.76374996
0,135,0.751654
0,150,0.74099797
0,165,0.731419
0,180,0.72267497
0,195,0.71459305
0,210,0.7070484
0,225,0.6999515
0,240,0.6932365
0,255,0.6868526
0,270,0.6807594
0,285,0.67492396
0,300,0.66931933
0,315,0.66392416
0,330,0.6587211
0,345,0.65369385
0,360,0.6488307
0,375,0.6441191
0,390,0.6395489
0,405,0.6351109
0,420,0.6307972
0,435,0.6266005
0,450,0.6225145
0,465,0.61853427
0,480,0.6146537
0,495,0.6108694
0,510,0.607177
0,525,0.60357237
0,540,0.6000528
0,555,0.59661365
0,570,0.5932526
0,585,0.5899673
0,600,0.5867555
0,615,0.5836131
0,630,0.5805391
0,645,0.5775318
0,660,0.5745897
0,675,0.57170933
0,690,0.56888986
0,705,0.5661299
0,720,0.563428
0,735,0.5607819
0,750,0.5581905
0,765,0.55565214
0,780,0.5531655
0,795,0.5507295
0,810,0.54834265
0,825,0.5460035
0,840,0.5437109
0,855,0.5414641
0,870,0.5392618
0,885,0.53710306
0,900,0.53498673
0,915,0.53291196
0,930,0.5308779
0,945,0.52888364
0,960,0.5269283
0,975,0.5250109
0,990,0.5231306
0,1005,0.5212868
0,1020,0.51947856
0,1035,0.51770496
0,1050,0.51596534
0,1065,0.5142589
0,1080,0.5125849
0,1095,0.5109427
0,1110,0.50933146
0,1125,0.5077505
0,1140,0.5061992
0,1155,0.50467694
0,1170,0.503183
0,1185,0.5017168
0,1200,0.50027776
0,1215,0.49886528
0,1230,0.49747875
0,1245,0.49611768
0,1260,0.49478146
0,1275,0.49346954
0,1290,0.4921814
0,1305,0.49091655
0,1320,0.48967448
0,1335,0.48845464
0,1350,0.48725662
0,1365,0.4860799
0,1380,0.48492402
0,1395,0.48378855
0,1410,0.48267302
0,1425,0.481577
0,1440,0.4805001
0,1455,0.47944185
0,1470,0.4784019
0,1485,0.47737983
0,1500,0.47637525
0,1515,0.47538778
0,1530,0.47441706
0,1545,0.47346273
0,1560,0.47252446
0,1575,0.47160184
0,1590,0.4706946
0,1605,0.46980235
0,1620,0.46892482
0,1635,0.46806166
0,1650,0.4672126
0,1665,0.46637726
0,1680,0.4655554
0,1695,0.46474674
0,1710,0.46395096
0,1725,0.46316782
0,1740,0.462397
0,1755,0.46163827
0,1770,0.4608914
0,1785,0.46015605
0,1800,0.45943207
0,1815,0.45871913
0,1830,0.45801705
0,1845,0.45732558
0,1860,0.4566445
0,1875,0.45597357
0,1890,0.4553126
0,1905,0.45466137
0,1920,0.45401964
0,1935,0.45338726
0,1950,0.45276397
0,1965,0.45214963
0,1980,0.45154405
0,1995,0.450947
0,2010,0.4503583
0,2025,0.44977784
0,2040,0.44920537
0,2055,0.44864076
0,2070,0.44808382
0,2085,0.4475344
0,2100,0.44699234
0,2115,0.4464575
0,2130,0.4459297
0,2145,0.4454088
0,2160,0.44489464
0,2175,0.4443871
0,2190,0.44388607
0,2205,0.44339135
0,2220,0.44290283
0,2235,0.4424204
0,2250,0.44194388
0,2265,0.44147322
0,2280,0.4410082
0,2295,0.4405488
0,2310,0.44009486
0,2325,0.43964627
0,2340,0.4392029
0,2355,0.43876466
0,2370,0.43833143
0,2385,0.4379031
0,2400,0.43747962
0,2415,0.43706083
0,2430,0.43664664
0,2445,0.43623695
0,2460,0.4358317
0,2475,0.4354308
0,2490,0.4350341
0,2505,0.43464157
0,2520,0.4342531
0,2535,0.4338686
0,2550,0.433488
0,2565,0.43311122
0,2580,0.43273818
0,2595,0.4323688
0,2610,0.432003
0,2625,0.4316407
0,2640,0.43128186
0,2655,0.43092638
0,2670,0.4305742
0,2685,0.43022525
0,2700,0.4298795
0,2715,0.4295368
0,2730,0.42919713
0,2745,0.42886046
0,2760,0.4285267
0,2775,0.4281958
0,2790,0.42786768
0,2805,0.4275423
0,2820,0.42721963
0,2835,0.42689955
0,2850,0.42658207
0,2865,0.42626712
0,2880,0.42595464
0,2895,0.42564455
0,2910,0.42533687
0,2925,0.4250315
0,2940,0.42472842
0,2955,0.42442757
0,2970,0.4241289
0,2985,0.4238324
0,3000,0.42353797
0,3015,0.4232456
0,3030,0.42295524
0,3045,0.4226669
0,3060,0.42238048
0,3075,0.42209595
0,3090,0.4218133
0,3105,0.42153245
0,3120,0.4212534
0,3135,0.42097613
0,3150,0.42070058
0,3165,0.4204267
0,3180,0.42015448
0,3195,0.41988388
0,3210,0.41961485
0,3225,0.4193474
0,3240,0.41908148
0,3255,0.41881704
0,3270,0.4185541
0,3285,0.41829258
0,3300,0.41803247
0,3315,0.41777375
0,3330,0.41751638
0,3345,0.41726035
0,3360,0.41700566
0,3375,0.41675222
0,3390,0.41650003
0,3405,0.4162491
0,3420,0.41599935
0,3435,0.41575083
0,3450,0.41550344
0,3465,0.41525722
0,3480,0.4150121
0,3495,0.41476807
0,3510,0.41452515
0,3525,0.41428328
0,3540,0.41404244
0,3555,0.41380265
0,3570,0.41356385
0,3585,0.41332603
0,3600,0.41308916
0,3615,0.41285324
0,3630,0.41261828
0,3645,0.4123842
0,3660,0.41215104
0,3675,0.41191873
0,3690,0.4116873
0,3705,0.41145673
0,3720,0.41122702
0,3735,0.41099808
0,3750,0.41076997
0,3765,0.41054264
0,3780,0.41031608
0,3795,0.4100903
0,3810,0.40986526
0,3825,0.40964094
0,3840,0.40941736
0,3855,0.40919447
0,3870,0.4089723
0,3885,0.4087508
0,3900,0.40853
0,3915,0.40830982
0,3930,0.40809032
0,3945,0.40787145
0,3960,0.4076532
0,3975,0.4074356
0,3990,0.40721858
0,4005,0.40700215
0,4020,0.40678632
0,4035,0.40657106
0,4050,0.40635636
0,4065,0.40614223
0,4080,0.40592867
0,4095,0.4057156
0,4110,0.40550312
0,4125,0.4052911
0,4140,0.40507963
