"IndividualId","Time [min]","Organism|VenousBlood|BAY794620|Whole Blood [µmol/l]","Organism|Brain|BAY794620|Whole Organ incl. FcRn_Complex-BAY794620 [µmol/l]","Organism|Fat|BAY794620|Whole Organ incl. FcRn_Complex-BAY794620 [µmol/l]","Organism|Gonads|BAY794620|Whole Organ incl. FcRn_Complex-BAY794620 [µmol/l]","Organism|Heart|BAY794620|Whole Organ incl. FcRn_Complex-BAY794620 [µmol/l]","Organism|Kidney|BAY794620|Whole Organ incl. FcRn_Complex-BAY794620 [µmol/l]","Organism|Stomach|BAY794620|Whole Organ incl. FcRn_Complex-BAY794620 [µmol/l]","Organism|SmallIntestine|BAY794620|Whole Organ (Small Intestine) incl. FcRn_Complex-BAY794620 [µmol/l]","Organism|Liver|BAY794620|Whole Organ incl. FcRn_Complex (Liver)-BAY794620 [µmol/l]","Organism|Lung|BAY794620|Whole Organ incl. FcRn_Complex-BAY794620 [µmol/l]","Organism|Muscle|BAY794620|Whole Organ incl. FcRn_Complex-BAY794620 [µmol/l]","Organism|Pancreas|BAY794620|Whole Organ incl. FcRn_Complex-BAY794620 [µmol/l]","Organism|Skin|BAY794620|Whole Organ incl. FcRn_Complex-BAY794620 [µmol/l]","Organism|Spleen|BAY794620|Whole Organ incl. FcRn_Complex-BAY794620 [µmol/l]"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0.0931442,0.0015140218,0.00043002085,0.006422478,0.013427662,0.0050549116,0.0017745433,0.003127714,0.006784636,0.03910223,0.001068855,0.008438564,0.000842362,0.018379664
0,6,0.09069719,0.0014988334,0.0004515699,0.0069006723,0.014263692,0.0055442024,0.0021899184,0.0032835884,0.008465956,0.038677905,0.0010688738,0.00852094,0.00090487563,0.022271797
0,9,0.08852497,0.0014816681,0.00047188473,0.007257593,0.01498929,0.0060011297,0.002578223,0.0034263693,0.009971155,0.038204644,0.0010673216,0.008552539,0.0009644777,0.025154006
0,12,0.086567625,0.001463442,0.000491251,0.0075748498,0.015621144,0.006430481,0.00294225,0.003558506,0.011319945,0.03770659,0.0010647652,0.008549075,0.0010218046,0.027257847
0,15,0.08479247,0.0014449673,0.0005099474,0.007858766,0.0161741,0.0068364153,0.0032844301,0.0036822045,0.012529899,0.03720435,0.0010618167,0.008521438,0.0010774295,0.028765483
0,18,0.08317241,0.0014267466,0.0005281599,0.008118468,0.016659575,0.0072219637,0.0036067304,0.003798989,0.013615892,0.036710642,0.0010588526,0.0084772045,0.0011317427,0.02981746
0,21,0.081687525,0.0014091196,0.0005460282,0.008354069,0.017086886,0.007589497,0.0039108116,0.003910012,0.014590838,0.03623394,0.0010561459,0.008420647,0.0011850351,0.03052279
0,24,0.08032051,0.0013922632,0.00056363764,0.008569181,0.017463336,0.007940763,0.004198058,0.0040160497,0.015465896,0.035778645,0.0010538383,0.008355941,0.0012374971,0.03096512
0,27,0.07905713,0.0013762686,0.00058104604,0.008766519,0.017794937,0.008277133,0.0044696643,0.004117669,0.016250871,0.035346966,0.0010520087,0.008285925,0.0012892628,0.031209158
0,30,0.07788563,0.0013611728,0.0005982931,0.00894757,0.018086754,0.008599718,0.0047266795,0.004215295,0.016954465,0.03493974,0.0010506969,0.008212646,0.0013404287,0.03130501
0,33,0.076796085,0.0013469699,0.0006154029,0.009113735,0.018343033,0.008909411,0.004970028,0.0043092375,0.01758439,0.034556713,0.0010499092,0.008137666,0.0013910604,0.03129078
0,36,0.075780004,0.0013336302,0.00063239044,0.00926632,0.018567424,0.009206958,0.005200539,0.0043997313,0.018147549,0.03419704,0.0010496331,0.008062147,0.0014412038,0.031195723
0,39,0.07482987,0.0013211181,0.0006492668,0.009406441,0.01876319,0.009493026,0.005418974,0.0044869795,0.018650215,0.033859726,0.0010498512,0.0079869935,0.0014908961,0.031043557
0,42,0.07393948,0.0013093773,0.0006660351,0.009535057,0.018933052,0.009768153,0.005626008,0.004571119,0.019097915,0.033543263,0.0010505299,0.007912761,0.0015401575,0.030850183
0,45,0.07310307,0.001298363,0.0006827002,0.00965299,0.01907959,0.010032867,0.0058222846,0.004652295,0.019495789,0.03324643,0.0010516433,0.007839961,0.0015890107,0.03063013
0,48,0.07231609,0.0012880095,0.0006992589,0.00976093,0.019204859,0.010287572,0.0060083633,0.0047305888,0.019848263,0.032967485,0.0010531493,0.007768769,0.0016374612,0.030390577
